team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase,game_id,is_left_to_right,goal,ownGoal,eventType,outcome,event_id
Home,PASS,PASS,1,9390,375.6,9442,377.68,A06,A10,31.32,27.36,59.400000000000006,9.36,1,1,True,False,False,PASS,True,59
Home,PASS,DEEP BALL,1,9599,383.96,9628,385.12,A10,A08,93.96,20.88,103.68,26.64,1,1,True,False,False,PASS,True,60
Home,PASS,PASS,1,10387,415.48,10418,416.72,A06,A10,106.92,0.72,101.52,6.48,1,1,True,False,False,PASS,True,61
Home,PASS,PASS,1,10453,418.12,10477,419.08,A10,A06,101.52,6.48,93.96,7.2,1,1,True,False,False,PASS,True,62
Home,PASS,PASS,1,10493,419.72,10527,421.08,A06,A05,92.88,7.92,84.24000000000001,25.92,1,1,True,False,False,PASS,True,63
Home,PASS,PASS,1,10551,422.04,10599,423.96,A05,A07,85.32000000000001,25.92,79.92,46.08,1,1,True,False,False,PASS,True,64
Home,BALL LOST,INTERCEPTION,1,10613,424.52,10651,426.04,A07,,81.0,46.8,99.36,33.120000000000005,1,1,True,False,False,PASS,False,65
Home,PASS,HEAD,1,10708,428.32,10742,429.68,A08,A03,89.64,36.72,89.64,38.88,1,1,True,False,False,PASS,True,66
Away,PASS,PASS,1,11586,463.44,11619,464.76,B25,B17,84.24000000000001,39.6,75.6,56.88,1,1,False,False,False,PASS,True,67
Away,PASS,PASS,1,11674,466.96,11701,468.04,B17,B22,70.2,59.76,61.56,69.84,1,1,False,False,False,PASS,True,68
Away,PASS,PASS,1,11727,469.08,11763,470.52,B22,B20,62.63999999999999,67.67999999999999,58.32000000000001,52.56,1,1,False,False,False,PASS,True,69
Away,PASS,PASS,1,11788,471.52,11812,472.48,B20,B19,57.24,51.12,54.0,37.44,1,1,False,False,False,PASS,True,70
Away,PASS,PASS,1,11831,473.24,11861,474.44,B19,B24,54.0,39.6,42.120000000000005,28.8,1,1,False,False,False,PASS,True,71
Away,PASS,PASS,1,11882,475.28,11918,476.72,B24,B18,42.120000000000005,29.52,34.56,7.2,1,1,False,False,False,PASS,True,72
Home,PASS,GOAL KICK,1,13543,541.72,13625,545.0,A11,A05,4.32,31.68,54.0,61.92,1,1,True,False,False,PASS,True,73
Home,PASS,PASS,1,13625,545.0,13641,545.64,A05,A01,54.0,61.92,45.36,60.48,1,1,True,False,False,PASS,True,74
Home,BALL LOST,INTERCEPTION,1,13672,546.88,13701,548.04,A01,,44.28,61.2,68.04,61.92,1,1,True,False,False,PASS,False,75
Home,BALL LOST,INTERCEPTION,1,13739,549.56,13766,550.64,A06,,51.84,56.88,73.44000000000001,38.16,1,1,True,False,False,PASS,False,76
Away,BALL OUT,CLEARANCE,1,13886,555.44,13987,559.48,B16,,96.12,34.56,103.68,-2.88,1,1,False,False,False,PASS,False,77
Home,PASS,PASS,1,14574,582.96,14607,584.28,A04,A09,92.88,-1.44,103.68,7.2,1,1,True,False,False,PASS,True,78
Home,PASS,PASS,1,14607,584.28,14637,585.48,A09,A04,103.68,7.2,89.64,0.72,1,1,True,False,False,PASS,True,79
Home,PASS,PASS,1,14637,585.48,14666,586.64,A04,A08,89.64,0.72,99.36,15.12,1,1,True,False,False,PASS,True,80
Home,BALL LOST,INTERCEPTION,1,14730,589.2,14741,589.64,A08,,104.76,20.160000000000004,99.36,28.8,1,1,True,False,False,PASS,False,81
Away,PASS,PASS,1,14772,590.88,14793,591.72,B21,B19,98.28,25.2,89.64,22.32,1,1,False,False,False,PASS,True,82
Away,PASS,PASS,1,14793,591.72,14815,592.6,B19,B16,89.64,22.32,99.36,26.64,1,1,False,False,False,PASS,True,83
Away,PASS,PASS,1,14834,593.36,14870,594.8,B16,B21,98.28,25.2,86.4,8.64,1,1,False,False,False,PASS,True,84
Away,PASS,PASS,1,14870,594.8,14890,595.6,B21,B18,86.4,8.64,89.64,9.36,1,1,False,False,False,PASS,True,85
Away,PASS,PASS,1,14890,595.6,14924,596.96,B18,B24,89.64,9.36,63.72,8.64,1,1,False,False,False,PASS,True,86
Home,PASS,PASS,1,15043,601.72,15109,604.36,A02,A11,35.64,9.36,17.28,30.96,1,1,True,False,False,PASS,True,87
Home,BALL LOST,INTERCEPTION,1,15152,606.08,15224,608.96,A11,,17.28,37.44,61.56,62.64,1,1,True,False,False,PASS,False,88
Home,PASS,PASS,1,15298,611.92,15336,613.44,A01,A05,47.52,70.56,56.16,67.67999999999999,1,1,True,False,False,PASS,True,89
Home,PASS,PASS,1,15363,614.52,15379,615.16,A05,A09,60.48,69.12,64.8,63.36,1,1,True,False,False,PASS,True,90
Home,PASS,PASS,1,15419,616.76,15430,617.2,A09,A05,69.12,63.36,75.6,63.36,1,1,True,False,False,PASS,True,91
Away,PASS,PASS,1,15473,618.92,15521,620.84,B16,B25,86.4,51.12,101.52,43.92,1,1,False,False,False,PASS,True,92
Home,PASS,HEAD,1,15646,625.84,15690,627.6,A04,A03,49.68,24.48,42.120000000000005,33.120000000000005,1,1,True,False,False,PASS,True,93
Home,PASS,PASS,1,15917,636.68,15973,638.92,A03,A01,36.720000000000006,31.68,46.44,65.52,1,1,True,False,False,PASS,True,94
Home,PASS,PASS,1,16045,641.8,16066,642.64,A01,A06,56.16,65.52,58.32000000000001,52.56,1,1,True,False,False,PASS,True,95
Home,PASS,PASS,1,16066,642.64,16094,643.76,A06,A01,58.32000000000001,52.56,57.24,64.8,1,1,True,False,False,PASS,True,96
Home,PASS,PASS,1,16094,643.76,16134,645.36,A01,A02,57.24,64.8,37.8,57.6,1,1,True,False,False,PASS,True,97
Home,PASS,PASS,1,16162,646.48,16193,647.72,A02,A03,37.8,56.88,32.4,38.16,1,1,True,False,False,PASS,True,98
Home,PASS,PASS,1,16223,648.92,16252,650.08,A03,A06,31.32,41.04,50.76,48.24,1,1,True,False,False,PASS,True,99
Home,PASS,PASS,1,16252,650.08,16303,652.12,A06,A04,50.76,48.24,44.28,15.84,1,1,True,False,False,PASS,True,100
Home,PASS,PASS,1,16332,653.28,16359,654.36,A04,A10,47.52,15.84,57.24,19.44,1,1,True,False,False,PASS,True,101
Home,PASS,PASS,1,16383,655.32,16424,656.96,A10,A08,60.48,17.28,74.52,2.16,1,1,True,False,False,PASS,True,102
Home,BALL LOST,INTERCEPTION,1,17276,691.04,17318,692.72,A06,,109.08,0.72,100.44,38.16,1,1,True,False,False,PASS,False,103
Home,PASS,PASS,1,18203,728.12,18252,730.08,A06,A03,101.52,71.28,96.12,33.120000000000005,1,1,True,False,False,PASS,True,104
Home,PASS,HEAD,1,18252,730.08,18270,730.8,A03,A08,96.12,33.120000000000005,101.52,39.6,1,1,True,False,False,PASS,True,105
Away,PASS,GOAL KICK,1,18558,742.32,18606,744.24,B25,B17,103.68,43.2,90.72,66.24000000000001,1,1,False,False,False,PASS,True,106
Away,PASS,PASS,1,18725,749.0,18754,750.16,B17,B22,72.36,61.92,64.8,71.28,1,1,False,False,False,PASS,True,107
Away,PASS,PASS,1,18793,751.72,18814,752.56,B22,B17,65.88,69.12,76.67999999999999,65.52,1,1,False,False,False,PASS,True,108
Away,PASS,PASS,1,18878,755.12,18931,757.24,B17,B25,79.92,69.12,103.68,53.28,1,1,False,False,False,PASS,True,109
Away,BALL LOST,INTERCEPTION,1,18931,757.24,19018,760.72,B25,,103.68,53.28,55.08,56.88,1,1,False,False,False,PASS,False,110
Away,PASS,PASS,1,19214,768.56,19252,770.08,B19,B18,58.32000000000001,21.6,48.6,1.44,1,1,False,False,False,PASS,True,111
Away,PASS,PASS,1,19269,770.76,19294,771.76,B18,B19,48.6,2.16,51.84,12.96,1,1,False,False,False,PASS,True,112
