team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase,game_id,is_left_to_right,goal,ownGoal,eventType,outcome
Away,PASS,PASS,1,5959,238.36,6011,240.44,B16,B17,9.72,48.24,12.96,27.36,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,6034,241.36,6079,243.16,B17,B18,15.12,23.76,31.32,5.040000000000001,1,2,True,False,False,PASS,True
Home,PASS,PASS,1,6354,254.16,6386,255.44,A01,A05,39.96,0.0,45.36,4.32,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,6394,255.76,6419,256.76,A05,A09,44.28,5.76,38.88,19.44,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,6494,259.76,6517,260.68,A09,A01,43.2,7.92,34.56,2.16,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,6602,264.08,6630,265.2,A01,,22.68,10.8,14.04,31.68,1,2,False,False,False,PASS,False
Away,PASS,PASS,1,6630,265.2,6697,267.88,B16,B23,15.12,33.84,45.36,20.160000000000004,1,2,True,False,False,PASS,True
Away,PASS,HEAD,1,6697,267.88,6725,269.0,B23,B24,45.36,20.160000000000004,43.2,32.4,1,2,True,False,False,PASS,True
Away,BALL LOST,INTERCEPTION,1,6746,269.84,6751,270.04,B24,,42.120000000000005,32.4,39.96,33.84,1,2,True,False,False,PASS,False
Home,PASS,PASS,1,6749,269.96,6767,270.68,A04,A06,42.120000000000005,34.56,42.120000000000005,30.24,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,6808,272.32,6830,273.2,A06,A01,38.88,27.36,44.28,25.2,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,6830,273.2,6859,274.36,A01,A04,44.28,25.2,44.28,36.0,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,6898,275.92,6941,277.64,A04,A08,46.44,38.16,33.48,67.67999999999999,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,8148,325.92,8200,328.0,A06,A04,70.2,23.04,74.52,48.24,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,8315,332.6,8342,333.68,A04,,56.16,58.32000000000001,31.32,62.64,1,2,False,False,False,PASS,False
Away,PASS,PASS,1,8385,335.4,8412,336.48,B15,B20,37.8,59.76,41.04,44.64,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,8412,336.48,8438,337.52,B20,B21,41.04,44.64,46.44,51.84,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,8483,339.32,8524,340.96,B21,B15,51.84,52.56,49.68,63.36,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,8524,340.96,8547,341.88,B15,B19,49.68,63.36,57.24,69.84,1,2,True,False,False,PASS,True
Home,PASS,PASS,1,8720,348.8,8761,350.44,A04,A06,77.75999999999999,72.72,76.67999999999999,54.0,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,8820,352.8,8862,354.48,A06,A05,73.44000000000001,49.67999999999999,73.44000000000001,31.68,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,8914,356.56,8932,357.28,A05,A06,65.88,23.76,65.88,33.84,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,8991,359.64,9021,360.84,A06,A04,63.72,32.4,61.56,53.28,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9126,365.04,9146,365.84,A04,A08,45.36,61.2,39.96,69.84,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9170,366.8,9207,368.28,A08,A04,39.96,69.12,46.44,64.08,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9261,370.44,9291,371.64,A04,A03,45.36,59.76,58.32000000000001,48.96,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9331,373.24,9373,374.92,A03,A05,59.400000000000006,45.36,54.0,17.28,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9399,375.96,9429,377.16,A05,A01,52.92,15.84,41.04,2.16,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9459,378.36,9474,378.96,A01,A05,43.2,3.6,52.92,9.36,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,9474,378.96,9483,379.32,A05,,52.92,9.36,49.68,20.160000000000004,1,2,False,False,False,PASS,False
Away,BALL LOST,INTERCEPTION,1,9481,379.24,9523,380.92,B23,,50.76,18.0,58.32000000000001,30.24,1,2,True,False,False,PASS,False
Home,PASS,PASS,1,9523,380.92,9539,381.56,A03,A06,58.32000000000001,31.68,51.84,25.92,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9579,383.16,9612,384.48,A06,A02,52.92,28.08,70.2,28.8,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9612,384.48,9649,385.96,A02,A04,70.2,28.8,62.63999999999999,44.64,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9688,387.52,9715,388.6,A04,A10,59.400000000000006,48.24,33.48,38.16,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,9760,390.4,9810,392.4,A10,A08,30.24,46.08,20.52,68.39999999999999,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,9905,396.2,9920,396.8,A08,,8.64,56.88,6.48,40.32000000000001,1,2,False,False,False,PASS,False
Home,BALL LOST,INTERCEPTION,1,10463,418.52,10508,420.32,A05,,8.64,72.0,4.32,41.76,1,2,False,False,False,PASS,False
Home,PASS,PASS,1,10715,428.6,10765,430.6,A04,A02,38.88,72.0,56.16,59.76,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,10886,435.44,10921,436.84,A02,A06,56.16,49.67999999999999,58.32000000000001,28.08,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,11008,440.32,11028,441.12,A06,A05,45.36,17.28,31.32,13.68,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,11063,442.52,11101,444.04,A05,,28.08,10.8,15.12,32.4,1,2,False,False,False,PASS,False
Home,PASS,PASS,1,11159,446.36,11199,447.96,A06,A04,37.8,24.48,47.52,40.32000000000001,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,11275,451.0,11318,452.72,A04,A08,42.120000000000005,44.64,31.32,69.84,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,11387,455.48,11417,456.68,A08,A04,27.0,67.67999999999999,34.56,60.48,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,11441,457.64,11476,459.04,A04,,34.56,59.76,24.84,20.88,1,2,False,False,False,PASS,False
Home,PASS,PASS,1,11647,465.88,11685,467.4,A07,A10,39.96,36.72,32.4,36.0,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,11685,467.4,11703,468.12,A10,A05,32.4,36.0,35.64,31.68,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,11721,468.84,11744,469.76,A05,A09,33.48,31.68,22.68,28.08,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,11810,472.4,11885,475.4,A09,A08,20.52,35.28,14.04,62.64,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,11958,478.32,11976,479.04,A08,A09,11.88,61.92,10.8,51.84,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,11976,479.04,11994,479.76,A09,A08,10.8,51.84,15.12,57.6,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,12069,482.76,12146,485.84,A08,A01,24.84,43.92,16.2,10.8,1,2,False,False,False,PASS,True
Away,PASS,PASS,1,13801,552.04,13830,553.2,B24,B20,54.0,36.0,43.2,31.68,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,14032,561.28,14069,562.76,B20,B16,48.6,30.96,42.120000000000005,47.52,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,14125,565.0,14172,566.88,B16,B15,47.52,54.72,64.8,70.56,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,14189,567.56,14234,569.36,B15,B19,66.96,71.28,81.0,61.92,1,2,True,False,False,PASS,True
Home,PASS,PASS,1,14278,571.12,14293,571.72,A06,A04,86.4,67.67999999999999,91.8,64.8,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,14293,571.72,14319,572.76,A04,A07,91.8,64.8,84.24000000000001,61.92,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,14339,573.56,14366,574.64,A07,A04,84.24000000000001,61.92,95.04,65.52,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,14447,577.88,14472,578.88,A04,A06,89.64,64.08,85.32000000000001,69.84,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,14844,593.76,14902,596.08,A04,A03,70.2,72.72,89.64,59.76,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,14921,596.84,14971,598.84,A03,A11,90.72,58.32000000000001,103.68,35.28,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,15023,600.92,15096,603.84,A11,,105.84,26.64,63.72,2.16,1,2,False,False,False,PASS,False
Away,BALL LOST,INTERCEPTION,1,15094,603.76,15149,605.96,B18,,62.63999999999999,5.040000000000001,73.44000000000001,4.32,1,2,True,False,False,PASS,False
Home,PASS,PASS,1,15153,606.12,15190,607.6,A05,A02,73.44000000000001,9.36,81.0,7.92,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,15194,607.76,15212,608.48,A02,A01,81.0,7.2,74.52,1.44,1,2,False,False,False,PASS,True
Away,PASS,PASS,1,15449,617.96,15486,619.44,B18,B17,75.6,0.0,59.400000000000006,7.92,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,15530,621.2,15591,623.64,B17,B15,57.24,13.68,58.32000000000001,54.72,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,15608,624.32,15678,627.12,B15,B16,58.32000000000001,55.44,42.120000000000005,43.2,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,15678,627.12,15737,629.48,B16,B17,42.120000000000005,43.2,43.2,20.160000000000004,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,15833,633.32,15898,635.92,B17,B19,51.84,15.84,71.28,59.76,1,2,True,False,False,PASS,True
Home,PASS,HEAD,1,15938,637.52,15967,638.68,A03,A07,81.0,49.67999999999999,72.36,46.8,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,15967,638.68,16000,640.0,A07,A04,72.36,46.8,74.52,62.64,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,16000,640.0,16024,640.96,A04,A07,74.52,62.64,72.36,51.84,1,2,False,False,False,PASS,True
Away,PASS,PASS,1,16036,641.44,16059,642.36,B23,B21,73.44000000000001,54.72,63.72,53.28,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,16112,644.48,16149,645.96,B21,B18,65.88,46.08,68.04,14.4,1,2,True,False,False,PASS,True
Away,BALL LOST,INTERCEPTION,1,16200,648.0,16205,648.2,B18,,79.92,12.96,83.16,14.4,1,2,True,False,False,PASS,False
Home,BALL LOST,INTERCEPTION,1,16203,648.12,16261,650.44,A05,,83.16,16.560000000000002,68.04,24.48,1,2,False,False,False,PASS,False
Away,BALL LOST,INTERCEPTION,1,16254,650.16,16265,650.6,B20,,71.28,24.48,65.88,24.48,1,2,True,False,False,PASS,False
Home,PASS,PASS,1,16388,655.52,16435,657.4,A09,A10,39.96,35.28,19.44,23.76,1,2,False,False,False,PASS,True
Away,PASS,PASS,1,16567,662.68,16632,665.28,B25,B15,6.48,36.0,18.360000000000003,54.0,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,16643,665.72,16683,667.32,B15,B21,20.52,55.44,27.0,50.4,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,16692,667.68,16742,669.68,B21,B15,27.0,51.12,32.4,64.8,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,16762,670.48,16792,671.68,B15,B16,32.4,64.8,22.68,53.28,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,16832,673.28,16870,674.8,B16,B20,25.92,51.12,32.4,32.4,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,16970,678.8,17015,680.6,B20,B22,50.76,21.6,78.84,5.040000000000001,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17080,683.2,17100,684.0,B22,B24,90.72,12.24,89.64,25.92,1,2,True,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,17109,684.36,17156,686.24,A07,,89.64,28.08,85.32000000000001,25.2,1,2,False,False,False,PASS,False
Away,PASS,PASS,1,17157,686.28,17193,687.72,B20,B22,84.24000000000001,26.64,92.88,12.24,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17220,688.8,17242,689.68,B22,B18,91.8,12.24,81.0,14.4,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17272,690.88,17302,692.08,B18,B22,81.0,14.4,90.72,6.48,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17330,693.2,17355,694.2,B22,B18,90.72,8.64,88.55999999999999,19.44,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17355,694.2,17372,694.88,B18,B22,88.55999999999999,19.44,86.4,14.4,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17377,695.08,17402,696.08,B22,B20,86.4,15.84,82.08,29.52,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17428,697.12,17505,700.2,B20,B19,83.16,30.96,92.88,64.08,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17544,701.76,17566,702.64,B19,B15,90.72,69.12,79.92,64.8,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17595,703.8,17615,704.6,B15,B19,79.92,64.8,83.16,70.56,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17634,705.36,17667,706.68,B19,B15,82.08,70.56,73.44000000000001,68.39999999999999,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17667,706.68,17705,708.2,B15,B16,73.44000000000001,68.39999999999999,57.24,55.44,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17745,709.8,17798,711.92,B16,B20,55.08,51.84,63.72,20.88,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17846,713.84,17866,714.64,B20,B24,66.96,19.44,74.52,22.32,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17866,714.64,17894,715.76,B24,B20,74.52,22.32,69.12,15.84,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,17985,719.4,18003,720.12,B20,B22,73.44000000000001,25.92,77.75999999999999,36.72,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,18003,720.12,18029,721.16,B22,B21,77.75999999999999,36.72,68.04,40.32000000000001,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,18091,723.64,18106,724.24,B21,B19,72.36,51.12,79.92,63.36,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,18127,725.08,18154,726.16,B19,B15,81.0,62.64,83.16,69.84,1,2,True,False,False,PASS,True
Home,PASS,PASS,1,18268,730.72,18291,731.64,A08,A07,86.4,72.0,86.4,61.92,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,18306,732.24,18341,733.64,A07,,85.32000000000001,62.64,72.36,46.8,1,2,False,False,False,PASS,False
Home,PASS,PASS,1,18415,736.6,18450,738.0,A06,A11,84.24000000000001,42.48,102.6,37.44,1,2,False,False,False,PASS,True
Away,BALL LOST,INTERCEPTION,1,19485,779.4,19526,781.04,B20,,109.08,0.72,101.52,38.16,1,2,True,False,False,PASS,False
Away,BALL LOST,INTERCEPTION,1,19654,786.16,19675,787.0,B15,,96.12,66.96000000000001,96.12,46.8,1,2,True,False,False,PASS,False
Home,PASS,PASS,1,19677,787.08,19720,788.8,A04,A05,97.2,46.8,91.8,35.28,1,2,False,False,False,PASS,True
Away,PASS,PASS,1,19777,791.08,19852,794.08,B19,B20,74.52,36.0,91.8,11.52,1,2,True,False,False,PASS,True
Home,PASS,PASS,1,19931,797.24,19953,798.12,A01,A08,86.4,7.92,64.8,13.68,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,20065,802.6,20123,804.92,A08,A09,56.16,18.0,56.16,59.04,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,20167,806.68,20195,807.8,A09,A06,50.76,61.2,49.68,50.4,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,20234,809.36,20244,809.76,A06,A08,47.52,49.67999999999999,41.04,51.12,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,20244,809.76,20263,810.52,A08,A09,41.04,51.12,45.36,54.0,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,20282,811.28,20321,812.84,A09,A08,44.28,54.0,38.88,62.64,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,20326,813.04,20354,814.16,A08,A04,38.88,63.36,48.6,59.76,1,2,False,False,False,PASS,True
