team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Home,PASS,PASS,1,13625,545.0,13641,545.64,A05,A01,54.0,61.92,45.36,60.48,1
Home,BALL LOST,INTERCEPTION,1,13672,546.88,13701,548.04,A01,,44.279999999999994,61.199999999999996,68.04,61.92,1
Away,RECOVERY,INTERCEPTION,1,13701,548.04,13701,548.04,B17,,61.559999999999995,61.92,,,1
Away,BALL LOST,BALL LOST,1,13701,548.04,13736,549.44,B17,,61.559999999999995,61.92,51.839999999999996,59.04,1
Home,RECOVERY,RECOVERY,1,13739,549.56,13739,549.56,A06,,51.839999999999996,56.88,,,1
Home,BALL LOST,INTERCEPTION,1,13739,549.56,13766,550.64,A06,,51.839999999999996,56.88,73.44000000000001,38.160000000000004,1
Away,RECOVERY,INTERCEPTION,1,13766,550.64,13766,550.64,B15,,69.12,39.6,,,1
Away,BALL LOST,BALL LOST,1,13766,550.64,13814,552.56,B15,,69.12,39.6,82.08,37.44,1
Home,RECOVERY,RECOVERY,1,13814,552.56,13814,552.56,A09,,78.84,40.32000000000001,,,1
Home,CHALLENGE,TACKLE-LOST,1,13843,553.72,13843,553.72,A09,,86.4,37.44,,,1
Home,BALL LOST,THEFT,1,13843,553.72,13843,553.72,A09,,86.4,37.44,,,1
Away,CHALLENGE,TACKLE-WON,1,13844,553.76,13844,553.76,B16,,87.48,38.160000000000004,,,1
Away,RECOVERY,THEFT,1,13844,553.76,13844,553.76,B16,,87.48,38.160000000000004,,,1
Away,BALL OUT,CLEARANCE,1,13886,555.44,13987,559.48,B16,,96.12,34.56,103.67999999999999,-2.88,1
Home,SET PIECE,THROW IN,1,14574,582.96,14574,582.96,A04,,,,,,1
Home,PASS,PASS,1,14574,582.96,14607,584.28,A04,A09,92.88,-1.44,103.67999999999999,7.2,1
Home,PASS,PASS,1,14607,584.28,14637,585.48,A09,A04,103.67999999999999,7.2,89.64,0.72,1
Home,PASS,PASS,1,14637,585.48,14666,586.64,A04,A08,89.64,0.72,99.36,15.12,1
Home,BALL LOST,INTERCEPTION,1,14730,589.2,14741,589.64,A08,,104.75999999999999,20.160000000000004,99.36,28.8,1
Away,RECOVERY,INTERCEPTION,1,14741,589.64,14741,589.64,B21,,100.44000000000001,28.080000000000002,,,1
Away,PASS,PASS,1,14772,590.88,14793,591.72,B21,B19,98.28,25.2,89.64,22.32,1
Away,PASS,PASS,1,14793,591.72,14815,592.6,B19,B16,89.64,22.32,99.36,26.64,1
Away,PASS,PASS,1,14834,593.36,14870,594.8,B16,B21,98.28,25.2,86.4,8.64,1
Away,PASS,PASS,1,14870,594.8,14890,595.6,B21,B18,86.4,8.64,89.64,9.36,1
Away,PASS,PASS,1,14890,595.6,14924,596.96,B18,B24,89.64,9.36,63.72,8.64,1
